shot_id,acc_x_mean,acc_x_median,acc_x_std,acc_x_min,acc_x_max,acc_y_mean,acc_y_median,acc_y_std,acc_y_min,acc_y_max,acc_z_mean,acc_z_median,acc_z_std,acc_z_min,acc_z_max,acc_mag_mean,acc_mag_median,acc_mag_std,acc_mag_min,acc_mag_max,gyro_x_mean,gyro_x_median,gyro_x_std,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_median,gyro_y_std,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_median,gyro_z_std,gyro_z_min,gyro_z_max,gyro_mag_mean,gyro_mag_median,gyro_mag_std,gyro_mag_min,gyro_mag_max,label,timestamp,player
1779007883314,7.05938138627451,4.295093,10.613380033056036,-4.52985,49.152824,-7.240662655294118,-8.123068,4.002072633786082,-13.591946,4.165737,-1.7343029623529411,-0.84560394,9.847562243013074,-26.568253,11.988173,15.685530260912392,11.989226578355137,9.058343768865472,8.864453242524878,54.10827575081627,-0.33692624862745096,-0.70855564,1.914516382874765,-3.0961523,7.3584056,-0.5675813556862744,0.98713076,3.1643240990424144,-9.031588,2.588272,0.04822558898039215,-0.4896371,1.3546782982327708,-1.8060778,3.8775477,3.270292821208628,2.5388272462385424,2.247557631823124,1.0859538386401415,10.927348544737482,forehand,2026-05-17 10:51:23.314,1
1779007886907,8.190446445686275,4.5118837,9.701924563570559,-1.1869596,38.546844,-6.020612572941177,-5.7802896,4.660428734662023,-14.413594,2.2781,-1.3916556480392157,0.67911816,7.98605125803717,-19.065613,11.5593815,14.552981765687834,12.213692349155885,8.42449637340602,3.3540806743897047,41.277911950640714,-0.19255763647058827,-0.5670043,2.2658265868904937,-3.2603412,6.4112234,-0.4491741101960784,1.0951252,3.625001753722375,-9.041974,3.5740712,-0.5362699560392157,-0.83106476,1.660941238356289,-3.7731485,3.3444998,3.9543154246202135,3.3313856922421605,2.370852307267805,0.9036545687905828,10.449546922343906,forehand,2026-05-17 10:51:26.907,1
1779007890443,7.985304273921568,5.1694427,9.183205243242476,-3.2734215,41.69211,-5.606899363725491,-7.368492,5.612743833102176,-12.503201,6.3779616,-0.769606235607843,0.7449938,9.379810231877697,-21.877905,17.548079,14.817694862789812,11.35360062272572,8.807395854930007,6.606173842301334,43.69618822333775,0.015305796156862748,-0.7644837,4.413591650002957,-5.3334093,18.656412,0.13522220184313724,0.8945831,2.692702562573649,-7.372654,3.1857705,0.257250936745098,-0.30387595,2.2715871831343626,-3.1285107,6.5831356,4.408973946024818,3.3071455366315576,3.4855567266972813,1.074498647326137,19.403808320566455,forehand,2026-05-17 10:51:30.443,1
1779007896798,6.934792903941177,4.7154994,9.16251110803101,-0.75816894,39.911068,-5.173270752686275,-6.528877,3.6853246821605663,-11.049145,4.5909348,-1.1680306579803923,0.39525396,8.264223375538139,-21.608414,8.808174,12.622014623026939,9.51390397797244,9.00398821085731,4.718474110320407,40.88018735104914,0.04420982598039215,-0.47192654,2.1980901796323855,-2.736881,5.200913,-0.6465516896078431,-0.77487034,3.083245687800886,-9.160222,3.0518093,-0.2965050278431372,-0.67020494,1.4252239802648539,-2.4274123,2.6665714,3.495174911108693,3.064129772037519,2.10398478957631,1.1041832481976779,9.947866111555415,forehand,2026-05-17 10:51:36.798,1
1779007901104,7.3649927464705875,4.755025,9.075604371109181,-8.512333,33.849308,-3.4607149509803925,-3.9070256,8.50353175067368,-18.009207,14.764532,-1.7725132075215686,-0.0059886966,9.73808258174215,-22.015646,16.910881,15.710212546221532,15.225412370827597,8.27699245344253,3.6885388503947234,39.67828452757347,0.23012760509803917,-0.90776616,4.346301022441054,-3.5470393,16.841146,-0.08688436980392156,1.0393304,3.150710036054364,-8.568583,3.1777809,0.1441388633333333,-0.5020212,1.9153601784262995,-2.1819944,5.238731,4.366607612992444,3.0948349526021857,3.6221834475878487,1.5355816877763366,17.85862324404059,forehand,2026-05-17 10:51:41.104,1
1779007905167,7.748668526078431,4.0663247,8.23289094714031,-0.24912977,36.946663,-2.87379924,-3.7082007,6.236539321702076,-12.897257,11.20006,-0.1985898372980392,2.1810832,8.664870105154364,-21.12333,10.840738,13.754233288590248,11.504822145120308,7.648477127802858,5.747995246887688,40.88403294998322,0.06457580823529413,-0.60735244,2.932488846934041,-3.273125,7.780263,-0.6966310839215687,-0.37059018,3.376971382723652,-9.073533,2.899605,-0.15069512111764705,-0.42731723,1.6001687935055062,-2.3528414,3.7261424,4.086051560447119,3.286031932938372,2.4610262946923256,0.7461919200584526,9.701848601089923,forehand,2026-05-17 10:51:45.167,1
1779007909641,6.747757777843137,4.448404,7.1895076784281935,-1.7355242,30.34712,-7.647212927450981,-6.524086,3.526477878972561,-16.351536,-2.5008795,-1.0660584043137253,1.6936033,9.460290072919346,-26.04484,10.954523,14.488361280369748,12.706270507138612,6.838336277215812,5.702748750524309,37.90031463839944,-0.5191912703921568,-0.5298521,1.3837439378349266,-2.841147,3.6696815,-0.46018215627450976,0.6028249,3.2554287571430676,-8.895096,3.5160124,-0.09225262088235293,0.287497,1.3240563992999526,-3.177248,1.52697,3.375182946629171,3.1923725662991624,1.7735913842272832,0.9163450673811412,9.624370313975037,forehand,2026-05-17 10:51:49.641,1
1779007913916,6.938480128823529,3.0901673,9.403067519205065,-0.18804507,38.90497,-4.100988786470588,-6.748063,5.719447536366631,-10.752106,11.871992,-0.880314901764706,0.5497623,7.819118505822143,-18.004417,13.815923,13.235359861902477,9.966048616239874,8.404784867006242,6.410363868358265,41.852295882359584,0.4115127564705882,-0.36859274,2.9665541923276955,-4.5098014,6.90925,-0.7902649478627451,-0.29801682,3.068770637609923,-8.034736,2.5489893,-0.18957584994117646,-0.61614114,1.4542796602037027,-2.355904,3.1455555,3.9498784736479644,2.9393785095717786,2.2946790679450038,0.5989038265378053,9.683776258648107,forehand,2026-05-17 10:51:53.916,1
1779007918808,9.971461126470588,6.1479955,10.663967971813602,-0.7976943,45.696148,-6.319342874509804,-7.60804,5.7165161307725585,-15.492758,8.887225,-1.3154464149019611,1.6289254,9.726886646391273,-30.274057,12.004941,16.591414319239888,13.007433552181954,10.205243013251996,7.604284213189372,50.06016466457178,-0.34009343411764703,-0.5375755,2.4204145750815034,-3.7615635,5.849013,-0.6910957473725491,1.2362771,3.9193923568934763,-10.807038,3.303619,-0.39966649384313724,-0.3185238,1.727482127115612,-3.809635,3.336377,4.221260195431205,3.4438737829635757,2.607084512952332,1.2196223587677666,11.024792988123995,forehand,2026-05-17 10:51:58.808,1
1779007921991,12.349678233333334,6.9061646,14.746338204129756,0.7869147,67.8675,-3.4976335390196076,-5.680877,7.10793977800428,-17.302542,9.801101,-2.8561854250980394,-0.69349104,7.87435807402534,-24.792006,9.477711,17.31622115324114,11.724350904434353,14.159737704170354,5.919418648164398,68.52736494532316,0.00020105078431368264,-0.9338659,5.8617307276956865,-7.002996,27.511427,-0.1921842937254902,1.1996576,3.749562948212659,-11.59629,5.173881,-0.31288919784313723,-0.9682217,2.5020034692819273,-4.805155,5.976316,5.481743481287026,3.31080482733603,4.9159088827564235,1.3241508816090135,27.787320166494602,forehand,2026-05-17 10:52:01.991,1
