shot_id,timestamp,score_marker,sample_index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,0,5.746753,-10.064603,1.1450387,0.40414703,1.789033,0.026632423
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,1,5.492832,-10.341281,-0.37129918,0.3266467,1.8480239,-0.42798305
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,2,4.9179173,-10.3903885,-0.8719542,-0.20799923,1.7987539,-0.5335806
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,3,4.897556,-9.591496,-0.7318187,-0.70003325,1.97546,-0.5085461
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,4,3.839952,-8.044017,-1.2983494,-0.7539639,1.8813144,-0.5108099
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,5,4.5813527,-7.8128533,-1.7019875,-0.70855564,2.1259332,-0.59350353
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,6,4.272336,-7.648763,-1.3498522,-0.5739287,2.1625528,-0.5876444
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,7,5.071228,-7.7062545,-0.84560394,-0.76395106,2.3701525,-0.62892467
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,8,5.5515213,-8.123068,-1.0695812,-0.8975127,2.5552478,-0.6197365
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,9,5.135906,-8.398548,-1.3774002,-1.1670328,2.588272,-0.6442383
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,10,4.225624,-8.319497,-1.4744171,-1.1928662,2.4303417,-0.68325484
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,11,4.0411725,-8.926751,-0.59407866,-1.3324201,2.534075,-0.6515622
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,12,2.981173,-9.130366,-1.3654227,-1.2497264,2.3850667,-0.62612826
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,13,1.9786652,-10.302953,-2.0014224,-1.2250915,2.1365862,-0.6162743
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,14,2.1703036,-10.304151,-2.8039076,-1.5714462,2.0319207,-0.4896371
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,15,1.0731744,-10.965303,-3.5620766,-2.032853,1.6585342,-0.25234222
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,16,1.0072987,-9.786728,-5.2976007,-2.2863936,1.3707708,-0.115318395
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,17,0.9330389,-12.352285,-8.860875,-2.0597515,1.0064393,-0.06977695
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,18,1.143841,-9.48849,-11.018003,-1.9809196,0.35354543,-0.14314927
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,19,1.984654,-9.383089,-12.421754,-0.9895277,-0.3476863,-0.28150472
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,20,3.9764943,-7.373283,-14.444736,-0.62186706,-1.3428068,-0.48817232
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,21,2.4924955,-6.114459,-18.067898,0.3972226,-2.1238027,-0.8146858
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,22,5.108358,-7.1445146,-22.342628,0.48284584,-3.003871,-0.67246866
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,23,11.601302,-7.0355206,-26.568253,0.5463642,-4.007514,-0.44516096
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,24,17.35644,-6.3803573,-23.179848,2.4898653,-4.601284,-0.42878202
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,25,30.050081,-6.4653964,-19.47045,2.7316878,-6.3347883,0.4952299
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,26,49.152824,0.35572857,-22.618109,-3.0961523,-4.969877,1.4722403
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,27,35.64113,-2.5188458,-2.3715239,0.89871114,-8.835706,0.6220003
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,28,31.948498,-4.1860986,-10.001122,4.9985065,-9.031588,0.8086935
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,29,25.546581,-5.3035893,-10.730546,7.3584056,-7.795044,2.120873
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,30,22.263578,-4.051952,0.6491747,4.692633,-5.4493933,3.5441098
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,31,14.466295,-0.41082457,10.479021,1.3228325,-4.4292383,3.8775477
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,32,9.407044,-4.098664,8.936333,0.28789648,-3.8134966,3.5329242
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,33,9.286073,-1.621739,10.758094,-0.27298233,-2.8279638,3.0087981
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,34,5.059251,4.165737,11.988173,-0.68605125,-2.4766822,2.4347363
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,35,6.374368,0.20361568,11.342591,-0.57552665,-1.7448232,2.044438
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,36,3.780065,1.8002021,9.899315,-0.6706044,-1.8220572,1.4109858
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,37,5.420968,-1.4432758,10.815586,-0.78539014,-1.3188376,0.8242735
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,38,5.5946403,-2.6374218,10.910207,-1.1626384,-0.8166833,0.3293099
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,39,4.295093,-5.0137367,9.543587,-1.7149949,-0.5121415,-0.2362296
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,40,4.659206,-6.737283,5.7096233,-1.930318,0.1170495,-0.7615541
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,41,1.9056032,-9.080061,4.244788,-1.8521519,0.45235172,-1.2732961
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,42,1.2360669,-9.808287,3.175207,-1.920464,0.98713076,-1.6834354
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,43,-0.840813,-10.681438,2.475727,-2.1574926,1.0778142,-1.8060778
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,44,-1.5558633,-12.748736,2.6613767,-1.6580015,1.1386693,-1.519646
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,45,-2.8721788,-11.722274,4.9035444,-1.6729157,1.3428068,-1.2732961
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,46,-2.953625,-10.268219,3.9764943,-1.0048413,1.4468064,-0.9835354
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,47,-4.52985,-10.603586,3.2842011,-0.5298521,0.93453175,-0.64969796
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,48,-2.9656024,-9.938841,4.9682226,-0.2225139,1.2535882,-0.58338326
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,49,-1.8217615,-13.591946,4.7154994,0.3012127,1.221363,-0.5410377
1779007883314,2026-05-17 10:51:23.314,S0-0_G0-0,50,-0.1006101,-11.737844,3.7812629,-0.19348456,1.6845008,-0.9489132
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,0,4.3334208,-8.933937,0.75697124,-1.1081752,0.3908308,-0.45914298
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,1,2.4505746,-5.7695103,2.7643821,-0.5670043,0.61187994,-0.34741998
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,2,2.8194783,-1.2348692,3.7405398,-0.15779711,1.0951252,0.031692583
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,3,2.9248793,-1.9295579,3.987274,-0.36406523,1.4742378,0.092414506
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,4,6.3552046,-6.738481,4.6328554,-0.38883337,2.1074238,0.7161459
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,5,6.986413,-8.433282,2.8925405,0.09907261,2.4632328,0.48204687
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,6,6.0857134,-9.482502,0.67911816,0.30467492,2.3176866,-0.13329528
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,7,9.554366,-12.989482,-0.978553,0.14288296,3.122918,-0.44622624
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,8,6.9397016,-11.440805,-1.3223041,-0.3550102,3.1578064,-0.61840487
1779007886907,2026-05-17 10:51:26.907,S0-0_G0-0,9,5.3910246,-10.856309,-2.0661004,-0.53797495,3.341437,-0.9053692
